rowid,utility_id_ferc1,plant_name_ferc1,plant_type,installation_year,capacity_mw,peak_demand_mw,plant_hours_connected_while_generating,net_capacity_favorable_conditions_mw,net_capacity_adverse_conditions_mw,net_generation_mwh
1,2,weiss dam,Storage,1962.0,87.8,78.0,4377.0,90.0,51.0,264862.0
2,2,h. neely henry dam,Storage,1966.0,72.9,69.0,4816.0,77.0,9.0,246845.0
3,2,logan martin dam,Storage,1964.0,128.3,132.0,5050.0,148.0,107.0,462313.0
4,2,lay dam,Run-of-River,1968.0,177.0,185.0,5402.0,194.0,144.0,719686.0
5,2,mitchell dam,Run-of-River,1985.0,170.0,169.0,5446.0,176.0,122.0,598137.0
6,2,jordan dam,Run-of-River,1928.0,100.0,127.0,8760.0,136.0,81.0,361024.0
7,2,walter bouldin dam,Run-of-River,1967.0,225.0,229.0,4465.0,240.0,153.0,806931.0
8,2,martin dam,Storage,1952.0,154.2,127.0,3791.0,169.0,117.0,363979.0
9,2,yates dam,Run-of-River,1928.0,32.0,35.0,5822.0,39.0,28.0,146959.0
10,2,thurlow dam,Run-of-River,1930.0,58.0,64.0,8726.0,67.0,45.0,257586.0
11,2,lewis smith dam,Storage,1962.0,157.5,169.0,2349.0,200.0,164.0,295112.0
12,2,bankhead dam,Run-of-River,1963.0,45.1,52.0,4364.0,54.0,41.0,207468.0
13,2,holt dam,Run-of-River,1968.0,40.0,42.0,4816.0,43.0,11.0,194322.0
14,2,r.l. harris dam,Storage,1983.0,135.0,115.0,2107.0,138.0,100.0,163271.0
15,17,walters,Storage,1930.0,108.0,110.0,6550.0,100.0,105.0,487459.0
16,17,tillery,Storage,1960.0,84.0,86.0,7669.0,86.0,86.0,224411.0
17,17,blewett,Storage,1912.0,25.0,28.0,6386.0,25.0,22.0,141365.0
18,18,s murray hydro. stn.,Run-of-River,1990.0,192.0,201.0,8760.0,201.0,20.0,943.08
19,70,bliss,Run-of-River,1950.0,75.0,54.0,8760.0,80.0,77.0,350351.0
20,70,brownlee,Storage,1980.0,585.4,697.0,7833.0,728.0,617.0,1743384.0
21,70,oxbow,Storage,1961.0,190.0,213.0,8724.0,220.0,220.0,753573.0
22,70,hells canyon,Storage,1967.0,391.5,431.0,8749.0,450.0,107.0,1504228.0
23,70,malad,Run-of-River,1948.0,21.77,24.0,8669.0,24.0,18.0,169081.0
24,70,c j strike,Run-of-River,1952.0,82.8,87.0,8760.0,89.0,87.0,406998.0
25,70,swan falls,Run-of-River,1994.0,27.17,22.0,8760.0,27.0,11.0,113694.0
26,70,twin falls,Run-of-River,1935.0,8.44,10.0,7461.0,10.0,3.0,52682.0
27,70,upper salmon,Run-of-River,1947.0,34.5,37.0,8760.0,39.0,23.0,263082.0
28,70,shoshone falls,Run-of-River,1921.0,12.5,13.0,8478.0,13.0,6.0,104337.0
29,70,lower salmon,Run-of-River,1949.0,60.0,50.0,8760.0,70.0,68.0,243983.0
30,70,milner,Run-of-River,1992.0,59.45,40.0,8672.0,59.0,1.0,103969.0
31,98,thomson,Storage,1949.0,72.6,84.0,8760.0,75.0,74.0,413249.75
32,98,blanchard,Run of River,1988.0,18.0,16.0,8760.0,18.0,18.0,108310.4
33,98,fond du lac,Storage,1924.0,12.0,11.0,8760.0,12.0,6.0,69790.8
34,19,neversink,Run-of-River,1953.0,25.0,24.0,3047.0,23.0,23.0,45689.0
35,19,sturgeon pool,Storage,1924.0,14.4,16.0,4369.0,15.0,15.0,59931.0
36,19,dashville,Run-of-River,1920.0,4.8,6.0,5735.0,4.0,4.0,12122.0
37,19,high falls,Run-of-River,1986.0,3.2,3.0,3524.0,3.0,3.0,6037.0
38,102,black eagle,Run-Of-River,1927.0,21.0,19.0,8290.0,18.0,15.0,121596.008
39,102,cochrane,Run-Of-River,1958.0,60.0,58.0,8757.0,55.0,30.0,270518.0
40,102,kerr,Storage,1954.0,182.5,185.0,8258.0,180.0,175.0,920514.33
41,102,morony,Run-Of-River,1930.0,50.0,49.0,8748.0,49.0,28.0,269546.9
42,102,mystic lake,Storage,1925.0,12.5,11.0,8750.0,12.0,12.0,46478.84
43,102,hauser,Storage,1914.0,17.0,17.0,8740.0,17.0,11.0,121287.0
44,102,holter,Storage,1918.0,48.0,45.0,8757.0,50.0,35.0,226775.14
45,102,rainbow,Run-Of-River,1917.0,41.6,37.0,8721.0,35.0,35.0,249856.2
46,102,ryan,Run-Of-River,1916.0,60.0,59.0,8757.0,60.0,50.0,401154.74
47,102,thompson falls,Run-Of-River,1917.0,30.0,42.0,8760.0,40.0,22.0,296932.776
48,193,peavy falls,Storage,1943.0,12.0,16.0,6791.0,16.0,14.0,54.31
49,193,big quinnesec,Run of River,1949.0,19.5,21.0,8760.0,20.0,14.0,99.981
50,197,high rock,Storage,1927.0,33.0,36.0,5472.0,37.0,12.0,152566.88
51,197,tuckertown,Run-of-River,1962.0,42.0,43.0,5098.0,42.0,38.0,157834.5
52,197,narrows,Storage,1924.0,96.5,118.0,5198.0,108.0,80.0,523144.4
53,197,falls,Run-of-River,1922.0,31.5,32.0,5415.0,32.0,22.0,145492.49
54,199,york-haven,Run-of-River,1930.0,19.6,23.0,8718.0,21.0,8.0,137.566
55,121,chippewa falls,Run-of-River,1928.0,21.6,22.0,4116.0,23.0,22.0,73486.138
56,121,cornell,Run-of-River,1977.0,30.9,30.0,4985.0,31.0,31.0,93074.0
57,121,holcombe,Run-of-River,1950.0,33.8,36.0,4999.0,33.0,33.0,107271.5
58,121,jim falls,Run-of River,1988.0,57.4,57.0,7223.0,58.0,58.0,149837.48
59,121,st. croix falls,Run-of-River,1923.0,23.2,24.0,8723.0,22.0,22.0,116209.0
60,121,wissota,Run-of-River,1917.0,36.0,37.0,8699.0,36.0,36.0,153270.4
61,131,mongaup,Storage,1926.0,4.0,4.0,7230.0,4000.0,4000.0,13357.0
62,131,rio,Storage,1927.0,10.0,11.0,7257.0,10000.0,8000.0,32173.0
63,131,swinging bridge,Storage,1939.0,12.0,12.0,6881.0,13000.0,11000.0,16573.0
64,131,grahamsville,Storage,1956.0,18.0,17.0,6831.0,18000.0,16000.0,106046.0
65,134,grace,Storage,1923.0,33.0,33.0,7949.0,33.0,17.0,106444.0
66,134,olmsted,Run-of-River,1922.0,11.79,8.0,7950.0,7.0,2.0,15164.0
67,134,oneida,Storage,1920.0,30.0,27.0,5304.0,30.0,28.0,33837.0
68,134,soda,Storage,1924.0,14.0,9.0,4243.0,7.0,4.0,17861.0
69,134,merwin,Storage,1958.0,136.0,146.0,7532.0,144.0,95.0,476286.0
70,134,yale,Storage,1953.0,134.0,130.0,4702.0,132.0,99.0,507360.0
71,134,swift no. 1,Storage,1958.0,240.0,239.0,3973.0,268.0,140.0,599074.0
72,134,copco no. 1,Storage,1922.0,20.0,25.0,4964.0,26.0,26.0,46777.0
73,134,copco no. 2,Run of River,1925.0,27.0,30.0,4971.0,30.0,26.0,61014.0
74,134,john c. boyle,Storage,1958.0,79.99,77.0,3936.0,82.0,82.0,105953.0
75,134,iron gate,Storage,1962.0,18.0,15.0,8757.0,20.0,20.0,60153.0
76,134,soda springs,Run of River,1952.0,11.0,12.0,8339.0,12.0,12.0,46277.0
77,134,slide creek,Run of River,1951.0,18.0,17.0,8492.0,18.0,17.0,65423.0
78,134,fish creek,Run of River,1952.0,11.0,13.0,5904.0,12.0,12.0,42923.0
79,134,clearwater no.1,Run of River,1953.0,15.0,12.0,8283.0,15.0,12.0,40302.0
80,134,clearwater no. 2,Run of River,1953.0,26.0,16.0,8215.0,26.0,26.0,38410.0
81,134,lemolo no. 1,Run of River,1955.0,29.0,28.0,8099.0,29.0,23.0,82424.0
82,134,lemolo no. 2,Run of River,1956.0,33.0,30.0,8498.0,35.0,33.0,115401.0
83,134,toketee,Conventional,1950.0,42.5,35.0,8722.0,42.0,42.0,167012.0
84,134,prospect no. 2,Run of River,1928.0,32.0,36.0,8751.0,36.0,26.0,204319.0
